P5P41T-LE,Intel,ASUS,not available,Invalid,4200,,
H61M-E,Intel,ASUS,H61,LGA 1155,4900,,
H110M-HD2,Intel,Gigabyte,H110,LGA 1151,8000,,
H110M-K,Intel,ASUS,H110,LGA 1151,9000,,
H310M-DS2,Intel,Gigabyte,H310,LGA 1151-2,9200,,
H310M-H,Intel,Gigabyte,H310,LGA 1151-2,9700,,ali ko ka tao
PRIME-H310M-K,Intel,ASUS,H310,LGA 1151-2,10000,,
PRIME-B250M-A,Intel,ASUS,B250,LGA 1151,12300,,
TUF-H310M-PLUS-GAMING,Intel,ASUS,H310,LGA 1151-2,12400,,
B360M-HD3,Intel,Gigabyte,B360,LGA 1151-2,12900,,
TUF-H310-PLUS-GAMING,Intel,ASUS,H310,LGA 1151-2,14000,,
PRIME-B360M-A,Intel,Asus,B360,LGA 1151-2,14500,,
TUF-B360M-E-GAMING,Intel,ASUS,B360,LGA 1151-2,14500,,
B360M-AORUS-GAMING-3,Intel,Gigabyte,B360,LGA 1151-2,14500,,
H370M-DS3H,Intel,GIGABYTE,H370,LGA 1151-2,14800,,
B250-MINING-EXPERT,Intel,Asus,B250,LGA 1151,15000,,
Z370M-DS3H,Intel,Gigabyte,Z370,LGA 1151-2,15900,,
TUF-B360M-PLUS-GAMING,Intel,ASUS,B360,LGA 1151-2,15950,,
ROG-STRIX-H270F-GAMING,Intel,ASUS,H270,LGA 1151,17300,,
TUF-B360-PRO-GAMING,Intel,Asus,B360,LGA 1151-2,17800,,
ROG-STRIX-B360-H-GAMING,Intel,Asus,B360,LGA 1151-2,18000,,
TUF-B450-PLUS-GAMING,AMD,ASUS,B450,AM4,18000,,
TUF-H370-PRO-GAMING,Intel,ASUS,H370,LGA 1151-2,18300,,
PRIME-H370-PLUS,Intel,ASUS,H370,LGA 1151-2,18500,,
PRIME-H270-PLUS,Intel,ASUS,H270,LGA 1151,18500,,
TUF-H370-PRO-GAMING--WIFI-,Intel,ASUS,H370,LGA 1151-2,19900,,
ROG-STRIX-B450-F-GAMING,AMD,ASUS,B450,AM4,20800,,
ROG-STRIX-H370-F-GAMING,Intel,ASUS,H370,LGA 1151-2,21300,,
PRIME-Z370-P,Intel,Asus,Z370,LGA 1151-2,21500,,
Z390-GAMING-X,Intel,Gigabyte,Z390,LGA 1151-2,22000,,
PRIME-Z370-P-II,Intel,Asus,Z370,LGA 1151-2,22500,,
TUF-X470-PLUS-GAMING,AMD,ASUS,X470,AM4,23800,,
TUF-Z370-PLUS-GAMING,Intel,ASUS,Z370,LGA 1151-2,24700,,
TUF-Z370-PLUS-GAMING-II,Intel,Asus,Z370,LGA 1151-2,25000,,
ROG-STRIX-B450-E-GAMING,AMD,ASUS,B450,AM4,25800,,
ROG-STRIX-Z370-F-GAMING,Intel,Asus,Z370,LGA 1151-2,26000,,
PRIME-Z390-P,Intel,Asus,Z390,LGA 1151-2,26200,,
ROG-STRIX-Z370-H-GAMING,Intel,ASUS,Z370,LGA 1151-2,26200,,
TUF-Z390-PLUS-GAMING,Intel,Asus,Z390,LGA 1151-2,27800,,
ROG-STRIX-Z390-H-GAMING,Intel,Asus,Z390,LGA 1151-2,29000,,
